1;Centella 30g;;;;;;;;1,2;0,6;;;;;;;6;;;;;0,75;1,8;;;;;;;;;1,5;;;;;;;;;;;;;;;0;3,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;1,2;;;;;;;;;1,2;;;;1,5;;;;;;0,3;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Haarshampoo;;;;;;;;;2;;;;;;;;;;;;2,5;;;;;;;;;0,5;;;;;;;;;;;1;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;6;;22;;;;;;;;;;;;;;;90;;;;;;;;3,75;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;
3;Gesichtsw. mit Frauenmantel;;5;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;40;;;5;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Handcreme 50g;;;1,25;;;;;2;;;;;1;;;;;;;;2,5;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;1;;;;;;;;;;7;16;;;;;;;;;6;;;;;;;;;1,25;;;;;;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Duschgel ;;;;;;;;;;;;;;;;;;;;;;;;53,5;7,2;;;27;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;8,8;;;;;;;;;;;;;;;;;;;14,8;;;3,5;;;;;;;;;;;;;;;;;;;;;;97; -   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Haarspülung;;;;;;;200;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;
7;Sonnenmilch SF20 100ml Aller;;;1,5;;;;;;;;;;;;0,5;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;1,25;;;;10;;;;;1,2;;;;;;;;;;;;;;;;;3;10;10;;;;;;;;;;;10;;;;60;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Gesichtswasser Klarer Teint 100;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;5;;;;;;4;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Massageöl sinnlich 100ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;40;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Bodylotion 210ml;;33;;;;;;;;;;5;;;;;;;;;8;;;;;1,5;;;;;5;33;;;;;;8;;;;;;;;;;;;5;;;;;;;;18;2,5;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;7;;;;;67;0;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;After Shave 100ml;2,2;;1;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Coldcream 30g;;;;;;;;3;;;;;;;;;;;;;1,25;;9;;;1,2;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;1,5;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Nachtkerzenöl-   creme;;;;;;;;;;;;1,25;;;;;;;;;2,5;;;;;;;;;;;;2,5;;;;;4;;;;;;;;;;;;4;;;1;;;;;;;;;8;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Lippenpflege 3 Stück;;;;;;;;4;;;;;;2;;;;;;;1,25;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Rosenblüten-creme              30g;;;;;;;;;;;;;;;;;;;;;;2,34;;;;;;;;;;;;;;;;;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,325;;;;;;;;;;;15,6;;;;;;;;;;;;;;;;;;1,56;;;;;;0,2;;;;;;;;;;;;;;;;;;2,34;4,68;0,78;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,05;0,5;;;;;;;;
16;Tigerbalsam 50g;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;5;7;10;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Haarwasser Kopfhautekzem 100 ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,25;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;10;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Nachtkerzenölcreme 30 g;;;;;;;;;;;;0,8;;;;;;;;;1,5;;;;;;;;;;;;1,5;;;;;2,4;;;;;;;;;;;;2,4;;;;;;;;;;;;4,8;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;18;0,3;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19; Tigerbalsam 30g ;;;;;;;;6,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,14;1,29;1,8;2,57;1,29;2,57;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
