1;Centella 30g;30;g
2;Haarshampoo;200;ml
3;Gesichtsw. mit Frauenmantel;100;ml
4;Handcreme 50g;50;g
5; Duschgel ;200;ml
6;Haarspülung;200;ml
7;Sonnenmilch SF20 100ml Aller;100;ml
8;Gesichtswasser Klarer Teint 100;100;ml
9;Massageöl sinnlich 100ml;100;ml
10;Bodylotion 210ml;210;ml
11;After Shave 100ml;100;ml
12;Coldcream 30g;30;g
13;Nachtkerzenöl-   creme;50;g
14;Lippenpflege 3 Stück;3;Stück
15;Rosenblüten-creme              30g;30;g
16;Tigerbalsam 50g;50;g
17;Haarwasser Kopfhautekzem 100 ml;100;ml
18;Nachtkerzenölcreme 30 g;30;g
19; Tigerbalsam 30g ;30;g
20;Handcreme 30g;30;g
21;Deospray 100 ml;100;ml
22;Softlineflasche 50ml mit Spritzeinsatz;50;ml
23;Softlineflasche 100ml mit Spritzeinsatz;100;ml
24;Softlineflasche 150ml mit Spritzeinsatz;150;ml
25;Softlineflasche 250ml mit Spritzeinsatz;250;ml
26;Kristalldose 50ml Klarglas weißer Deck;50;ml
27;Kristalldose 30ml Klarglas weißer Deck;30;ml
28;Cremedose 50ml doppelwandig milchig;50;ml
29;Cremedose 30ml doppelwandig;30;ml
30;Narbensalbe 30 g;100;ml
31;Klappovalfl 200ml mit Goldrand ;200;ml
32;Nachtkerzenölcreme ohne Harnstoff 3og;250;ml
33;Universalflasche 200ml mit Kippverschlu;200;ml
34;After-Shave Gel 100ml;250;ml
35;Fußcreme 60g;100;ml
36;Sonnenschutzöl Faktor 15 100ml;100;ml
37;Haarkur normales Haar 200 ml;250;ml
38;Cremdose 30ml Novelle weiß doppelw.;30;ml
39;Pflegestift weiß  / 1 Stück;1;Stück
40;Handcreme rasch einziehend 30 g;50;g
41;Anti-Aging Liposomen Gel 20 g;20;g
42;Vitamin Creme   30ml;30;ml
43;Vitamin-_Bodylotion200ml;200;ml
44;Nachtregenerationscreme 30g;30;g
45;Baby-Massageöl 200ml;200;ml
46;Feuchtigkeitscreme   30g;30;g
47;After Shave Flasche 100ml;30;ml
48;Sprühflasche 100ml ;100;ml
49;Ölgel zum Abschminken 50 ml;50;ml
50;Gesichtswasser Akne 100 ml;100;ml
51;Creme für Mischhaut 30 g;30;g
52;Kristalldose Klarglas 30ml Silberdeckel;30;ml
