1;Aloe Vera 10-fach;21,8;;10;ml;1;20;1,2;0,12;0,1;ml
2;Aloe Vera Gel;39;;250;ml;4;20;4,8;0,019;0,016;ml
3;Alpha-Bisabolol;8;;10;ml;4;20;4,8;0,48;0,4;ml
4;äther. Centella Öl;0;;;;;20; -   ; -   ; -   ;0
5;Augentrost Extrakt;0;;10;ml;2;20;2,4;0,24;0,2;ml
6;Avocadoöl;0;;;;;20; -   ; -   ; -   ;0
7;Basisspülung HT;100;;500;ml;9;20;10,8;0,02;0,02;ml
8;Bienenwachs weiß kbA;54,76;;100;g;5,83;20;7;0,07;0,06;g
9;Bio Kons;3,4;;30;ml;4;20;4,8;0,16;0,13;ml
10;Bioschwefel;0;;;;;20; -   ; -   ; -   ;0
11;Birkenextrakt;0;;10;;1,25;20;1,5;0,15;0,13;0
12;Borretsch Öl;0,6;;30;ml;4;20;4,8;0,16;0,13;ml
13;Camelliaöl - Bio (Teesamenöl);0;;20;ml;1,5;20;1,8;0,09;0,08;ml
14;Carnaubawachs ;44;;50;g;2;20;2,4;0,05;0,04;g
15;Carotinöl (Karottenöl);10,4;;10;ml;1;20;1,2;0,12;0,1;ml
16;Centellaöl;124;;100;ml;15;20;18;0,18;0,15;ml
17;Ceralan HAT;50;;50;g;3;20;3,6;0,07;0,06;g
18;Cremaba;80;;50;g;6,5;20;7,8;0,16;0,13;g
19;Cremaba HT;0;;;;;20; -   ; -   ; -   ;0
20;Distelöl;0;;;;;20; -   ; -   ; -   ;0
21;D-Panthenol;129,45;;250;ml;14,5;20;17,4;0,07;0,06;ml
22;Emulsan N;34,58;;50;g;2,5;20;3;0,06;0,05;g
23;Erdnussöl kbA;196;;250;ml;5;20;6;0,02;0,02;ml
24;Facetensid HAT;2;;500;ml;4;20;4,8;0,01;0,01;ml
25;Lysolecithin=Fluidlecithin CM;59;;100;ml;4;20;4,8;0,05;0,04;ml
26;Fluidlecitin Super;33;;50;ml;7,5;20;9;0,18;0,15;ml
27;Frauenmantelextrakt;0;;10;ml;1,45;20;1,74;0,17;0,15;ml
28;Glycintensid;444;;500;ml;5;20;6;0,01;0,01;ml
29;Grüntee Extrakt;5;;5;g;2;20;2,4;0,48;0,4;g
30;Haarguar;15,5;;30;g;3;20;3,6;0,12;0,1;g
31;Hagebuttenöl raffiniert;66;;50;ml;4,5;20;5,4;0,11;0,09;ml
32;Hamameliswasser;491;;500;ml;12;20;14,4;0,03;0,02;ml
33;Harnstoff;29;;50;g;1,45;20;1,74;0,03;0,03;g
34;Heilerde;47;;50;g;1;20;1,2;0,02;0,02;g
35;Hagebuttenöl Bio;25,6;;50;ml;7,5;20;9;0,18;0,15;ml
36;Johannisbeersamenöl;0;;20;ml;6,9;20;8,28;0,41;0,35;ml
37;Johanniskrautwasser;10;;50;ml;2;20;2,4;0,05;0,04;ml
38;Jojoba Öl;887,5;;1000;ml;26,25;20;31,5;0,03;0,03;ml
39;Kakaobutter fest Lebensmittelqualität;222,7;;250;g;5;20;6;0,02;0,02;g
40;Kalendolaextrakt;0;;;;;20; -   ; -   ; -   ;0
41;Kalweg;27;;100;ml;1;20;1,2;0,01;0,01;ml
42;Kamille wild;5;;5;ml;7,95;20;9,54;1,91;1,59;ml
43;Kapuzinerkresse Extrakt;0;;30;ml;3;20;3,6;0,12;0,1;ml
44;Karitebutter;0;;;;;20; -   ; -   ; -   ;0
45;Klettenwurzelöl;0,5;;50;ml;4,5;20;5,4;0,11;0,09;ml
46;Kokosöl raffiniert;0;;100;g;2;20;2,4;0,02;0,02;g
47;Kokosöl Bio;2,32;;50;g;2;10;2,2;0,04;0,04;g
48;Kosmetisches Basiswasser;90;;250;ml;2,5;20;3;0,01;0,01;ml
49;Kräuter für unreine Haut;26;;50;g;2;20;2,4;0,05;0,04;g
50;Lamecreme;25,8;;50;g;1,5;20;1,8;0,04;0,03;g
51;Lanolin Anhydrid;0;;;;;20; -   ; -   ; -   ;0
52;Lavendelwasser;0;;100;ml;2;20;2,4;0,02;0,02;ml
53;Lebensmittelaroma Aprikose;0;;10;ml;1,45;20;1,74;0,17;0,15;ml
54;Lebensmittelaroma Caramel;0;;10;ml;1,45;20;1,74;0,17;0,15;ml
55;Macadamianußöl;143;;50;ml;2;20;2,4;0,05;0,04;ml
56;Magnesiumstearat;0;;;;;20; -   ; -   ; -   ;0
57;Maisstärke;0;;;;;20; -   ; -   ; -   ;0
